! X/mm/t/t/tY/mm/t/t/tZ/mm
            -110	              -4	     1.90361960e-006
  -109.266666667	              -4	     1.84616659e-006
  -108.533333333	              -4	     1.77871606e-006
          -107.8	              -4	     1.71061909e-006
  -107.066666667	              -4	     1.65345044e-006
  -106.333333333	              -4	     1.61781853e-006
          -105.6	              -4	     1.61627469e-006
  -104.866666667	              -4	     1.64765515e-006
  -104.133333333	              -4	     1.71013391e-006
          -103.4	              -4	     1.79141794e-006
  -102.666666667	              -4	     1.87650107e-006
  -101.933333333	              -4	     1.94550597e-006
          -101.2	              -4	     1.97498875e-006
  -100.466666667	              -4	     1.94604175e-006
  -99.7333333333	              -4	     1.85560663e-006
             -99	              -4	     1.71718293e-006
  -98.2666666667	              -4	     1.55208807e-006
  -97.5333333333	              -4	     1.38657890e-006
           -96.8	              -4	     1.24083114e-006
  -96.0666666667	              -4	     1.12297356e-006
  -95.3333333333	              -4	     1.02811138e-006
           -94.6	              -4	     9.43346498e-007
  -93.8666666667	              -4	     8.51192865e-007
  -93.1333333333	              -4	     7.37742652e-007
           -92.4	              -4	     5.97059827e-007
  -91.6666666667	              -4	     4.33059978e-007
  -90.9333333333	              -4	     2.54301807e-007
           -90.2	              -4	     7.70337602e-008
  -89.4666666667	              -4	    -7.92347910e-008
  -88.7333333333	              -4	    -1.98253532e-007
             -88	              -4	    -2.71864631e-007
  -87.2666666667	              -4	    -3.01477407e-007
  -86.5333333333	              -4	    -3.01181246e-007
           -85.8	              -4	    -2.95825921e-007
  -85.0666666667	              -4	    -3.14361270e-007
  -84.3333333333	              -4	    -3.80055535e-007
           -83.6	              -4	    -5.02538403e-007
  -82.8666666667	              -4	    -6.74549968e-007
  -82.1333333333	              -4	    -8.75451242e-007
           -81.4	              -4	    -1.08271596e-006
  -80.6666666667	              -4	    -1.27644151e-006
  -79.9333333333	              -4	    -1.44433315e-006
           -79.2	              -4	    -1.58649442e-006
  -78.4666666667	              -4	    -1.70606984e-006
  -77.7333333333	              -4	    -1.80308381e-006
             -77	              -4	    -1.87542256e-006
  -76.2666666667	              -4	    -1.91607872e-006
  -75.5333333333	              -4	    -1.91435240e-006
           -74.8	              -4	    -1.86095367e-006
  -74.0666666667	              -4	    -1.75472063e-006
  -73.3333333333	              -4	    -1.60249572e-006
           -72.6	              -4	    -1.41812290e-006
  -71.8666666667	              -4	    -1.22429969e-006
  -71.1333333333	              -4	    -1.04628046e-006
           -70.4	              -4	    -9.03959053e-007
  -69.6666666667	              -4	    -8.10784096e-007
  -68.9333333333	              -4	    -7.70838332e-007
           -68.2	              -4	    -7.75710532e-007
  -67.4666666667	              -4	    -8.07262492e-007
  -66.7333333333	              -4	    -8.45654298e-007
             -66	              -4	    -8.76556732e-007
  -65.2666666667	              -4	    -8.92139330e-007
  -64.5333333333	              -4	    -8.96079105e-007
           -63.8	              -4	    -9.03334539e-007
  -63.0666666667	              -4	    -9.28795585e-007
  -62.3333333333	              -4	    -9.79392288e-007
           -61.6	              -4	    -1.05201124e-006
  -60.8666666667	              -4	    -1.12995785e-006
  -60.1333333333	              -4	    -1.18891922e-006
           -59.4	              -4	    -1.20648344e-006
  -58.6666666667	              -4	    -1.17246855e-006
  -57.9333333333	              -4	    -1.09090989e-006
           -57.2	              -4	    -9.81285413e-007
  -56.4666666667	              -4	    -8.73216290e-007
  -55.7333333333	              -4	    -7.91776116e-007
             -55	              -4	    -7.48578802e-007
  -54.2666666667	              -4	    -7.41366967e-007
  -53.5333333333	              -4	    -7.56026094e-007
           -52.8	              -4	    -7.67968656e-007
  -52.0666666667	              -4	    -7.55422773e-007
  -51.3333333333	              -4	    -7.10248359e-007
           -50.6	              -4	    -6.39980587e-007
  -49.8666666667	              -4	    -5.59511181e-007
  -49.1333333333	              -4	    -4.89762704e-007
           -48.4	              -4	    -4.47862994e-007
  -47.6666666667	              -4	    -4.39507894e-007
  -46.9333333333	              -4	    -4.56418402e-007
           -46.2	              -4	    -4.83458732e-007
  -45.4666666667	              -4	    -5.02333245e-007
  -44.7333333333	              -4	    -5.02520193e-007
             -44	              -4	    -4.83201538e-007
  -43.2666666667	              -4	    -4.54520865e-007
  -42.5333333333	              -4	    -4.34042676e-007
           -41.8	              -4	    -4.45924106e-007
  -41.0666666667	              -4	    -5.11094363e-007
  -40.3333333333	              -4	    -6.36338951e-007
           -39.6	              -4	    -8.11975179e-007
  -38.8666666667	              -4	    -1.01438013e-006
  -38.1333333333	              -4	    -1.20890238e-006
           -37.4	              -4	    -1.35991419e-006
  -36.6666666667	              -4	    -1.44352342e-006
  -35.9333333333	              -4	    -1.45680023e-006
           -35.2	              -4	    -1.41641193e-006
  -34.4666666667	              -4	    -1.34962475e-006
  -33.7333333333	              -4	    -1.28327576e-006
             -33	              -4	    -1.23787797e-006
  -32.2666666667	              -4	    -1.22295818e-006
  -31.5333333333	              -4	    -1.23666635e-006
           -30.8	              -4	    -1.27020989e-006
  -30.0666666667	              -4	    -1.31868045e-006
  -29.3333333333	              -4	    -1.38414842e-006
           -28.6	              -4	    -1.46963801e-006
  -27.8666666667	              -4	    -1.57321275e-006
  -27.1333333333	              -4	    -1.68914319e-006
           -26.4	              -4	    -1.80487943e-006
  -25.6666666667	              -4	    -1.90490926e-006
  -24.9333333333	              -4	    -1.97485992e-006
           -24.2	              -4	    -2.00446632e-006
  -23.4666666667	              -4	    -1.99448480e-006
  -22.7333333333	              -4	    -1.95420664e-006
             -22	              -4	    -1.89145210e-006
  -21.2666666667	              -4	    -1.81072436e-006
